"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name","Ad set budget","Ad set budget type","Amount spent (AUD)",Frequency,"Purchase ROAS (return on ad spend)",Purchases,"Checkouts initiated","Adds to cart","Cost per results","Result indicator",EPCRPC,"Link clicks","CPC (cost per link click) (AUD)","CTR (link click-through rate)","3-second video plays rate per impressions","25% Hold Rate","50% Hold Rate","100% Hold Rate","Cost per 1,000 Meta accounts reached (AUD)","CPM (cost per 1,000 impressions) (AUD)",Reach,Impressions,"Hold Rate"
2026-09-09,2026-09-12,"B03C02//Ferritin Researcher//Angle//1//HYBRID",active,B03//C02//ANGLE,"Using campaign budget",0,167.07,1.111111,,,1,1,,,0,63,2.651905,4.96063,43.543307,0.17204301,0.1108354,0.02233251,146.167979,131.551181,1143,1270,0.21338583
2026-09-09,2026-09-12,"B03C02//Ferritin Researcher//Angle//2//HYBRID",active,B03//C02//ANGLE,"Using campaign budget",0,195.09,1.208881,,,,2,,,0,72,2.709583,3.72478,35.437144,0.10782123,0.06592179,0.01675978,122.007505,100.926022,1599,1933,0.13760993
2026-09-09,2026-09-12,"B03C02//Ferritin Researcher//Angle//3//HYBRID",active,B03//C02//ANGLE,"Using campaign budget",0,16.56,1.186047,,,,,,,0,4,4.14,2.614379,33.333333,0.0729927,0.05109489,0.01459854,128.372093,108.235294,129,153,0.08496732
2026-09-09,2026-09-12,"B03C03//Burnt Skeptic//Angle//1//HYBRID",active,B03//C03//ANGLE,"Using campaign budget",0,0.06,1,,,,,,,,,,,,0,0,0,60,60,1,1,0
2026-09-09,2026-09-12,"B03C03//Burnt Skeptic//Angle//2//HYBRID",active,B03//C03//ANGLE,"Using campaign budget",0,2.6,1,,,,,,,0,1,2.6,6.666667,60,0.28571429,0.21428571,0.14285714,173.333333,173.333333,15,15,0.26666667
2026-09-09,2026-09-12,"B03C04//Menopause Energy Seeker//Angle//1//HYBRID",active,B03//C04//ANGLE,"Using campaign budget",0,0.35,2.75,,,,,,,0,1,0.35,9.090909,36.363636,0,0,0,87.5,31.818182,4,11,0
2026-09-09,2026-09-12,"B03C04//Menopause Energy Seeker//Angle//2//HYBRID",active,B03//C04//ANGLE,"Using campaign budget",0,37.04,1.215,,,1,,,,0,13,2.849231,5.349794,43.209877,0.08256881,0.04587156,0.01834862,185.2,152.427984,200,243,0.16872428
2026-09-09,2026-09-12,"B03C01//Menopause Energy Seeker//Angle//1//HYBRID",active,B03//C01//ANGLE,"Using campaign budget",0,1.92,1,,,,,,,,,,,66.666667,0,0,0,640,640,3,3,0
2026-09-09,2026-09-12,"B03C01//Menopause Energy Seeker//Angle//2//HYBRID",active,B03//C01//ANGLE,"Using campaign budget",0,2.41,1.5,,,,,,,,,,,66.666667,0,0,0,1205,803.333333,2,3,0
2026-09-09,2026-09-12,"B03C05//The Iron-Pill Casualty//Angle//1//HYBRID",active,B03//C05//ANGLE,"Using campaign budget",0,1.59,1.090909,,,,,,,,,,,50,0.16666667,0,0,144.545455,132.5,11,12,0.16666667
2026-09-09,2026-09-12,"B03C05//The Iron-Pill Casualty//Angle//2//HYBRID",active,B03//C05//ANGLE,"Using campaign budget",0,0.02,1,,,,,,,,,,,50,0,0,0,10,10,2,2,0
2026-09-09,2026-09-12,B03C06//Broad//BOF//1//HYBRID,active,B03//C06//BOF,"Using campaign budget",0,94.9,1.882934,2.049104,2,,6,47.45,actions:offsite_conversion.fb_pixel_purchase,6.076875,32,2.965625,2.397004,,,,,133.850494,71.086142,709,1335,0
2026-09-09,2026-09-12,B03C06//Broad//BOF//2//HYBRID,active,B03//C06//BOF,"Using campaign budget",0,0.46,1.75,,,,,,,,,,,,,,,115,65.714286,4,7,0
2026-09-09,2026-09-12,B03C06//Broad//BOF//3//HYBRID,active,B03//C06//BOF,"Using campaign budget",0,0.52,1,,,,,,,,,,,,,,,104,104,5,5,0
